iso,country,date,grocery_pharmacy,parks,residential,retail_recreation,transit_stations,workplaces,total_cases,fatalities,total_cases_1m,fatalitis_1m,pib,health_system_efficiency
AR,Argentina,2020-02-23,8.185,17.563,0.437,13.644,5.334,-2.486,0,0,0,0,519487,0.722
AR,Argentina,2020-02-24,-15.875,25.605,6.321,-9.973,-26.785,-53.687,0,0,0,0,519487,0.722
AR,Argentina,2020-02-25,-17.135,1.325,6.895,-19.717,-28.485,-50.053,0,0,0,0,519487,0.722
AR,Argentina,2020-02-26,2.304,5.399,-2.273,0.845,9.461,12.584,0,0,0,0,519487,0.722
AR,Argentina,2020-02-27,-0.404,-5.267,-0.493,-0.584,7.983,12.407,0,0,0,0,519487,0.722
AR,Argentina,2020-02-28,2.075,-7.859,-0.577,2.877,7.973,12.857,0,0,0,0,519487,0.722
AR,Argentina,2020-02-29,4.685,-7.582,1.409,5.265,5.595,2.156,0,0,0,0,519487,0.722
AR,Argentina,2020-03-01,2.873,-10.518,2.417,-2.509,0.944,-2.36,0,0,0,0,519487,0.722
AR,Argentina,2020-03-02,3.958,-8.264,-1.363,0.537,6.931,16.164,0,0,0,0,519487,0.722
AR,Argentina,2020-03-03,5.09,-6.241,-1.33,0.2,8.202,16.192,1,0,0.022252529177961,0,519487,0.722
AR,Argentina,2020-03-04,2.898,-0.579,-1.916,-0.983,7.567,17.953,1,0,0.022252529177961,0,519487,0.722
AR,Argentina,2020-03-05,4.236,-8.884,-1.491,0.735,10.191,17.557,1,0,0.022252529177961,0,519487,0.722
AR,Argentina,2020-03-06,7.63,-6.797,-1.996,6.376,12.04,18.163,2,0,0.044505058355923,0,519487,0.722
AR,Argentina,2020-03-07,7.222,-9.604,1.219,5.391,8.476,2.756,8,0,0.17802023342369,0,519487,0.722
AR,Argentina,2020-03-08,4.425,-12.354,2.186,3.013,2.63,-2.325,12,1,0.267030350135536,0.022252529177961,519487,0.722
AR,Argentina,2020-03-09,5.438,-9.125,-0.813,1.373,13.178,14.688,12,1,0.267030350135536,0.022252529177961,519487,0.722
AR,Argentina,2020-03-10,8.046,-8.646,-2.092,2.687,13.621,18.222,17,1,0.378292996025342,0.022252529177961,519487,0.722
AR,Argentina,2020-03-11,-6.831,-24.127,0.207,-15.515,-6.097,15.189,19,1,0.422798054381265,0.022252529177961,519487,0.722
AR,Argentina,2020-03-12,8.224,-15.55,-1.41,-4.239,10.392,18.187,19,1,0.422798054381265,0.022252529177961,519487,0.722
AR,Argentina,2020-03-13,10.128,-17.125,-1.125,-4.731,7.288,18.21,31,2,0.689828404516801,0.044505058355923,519487,0.722
AR,Argentina,2020-03-14,4.578,-40.463,7.188,-18.762,-19.48,-3.851,34,2,0.756585992050684,0.044505058355923,519487,0.722
AR,Argentina,2020-03-15,16.951,-43.747,8.781,-29.345,-17.249,-9.812,45,2,1.00136381300826,0.044505058355923,519487,0.722
AR,Argentina,2020-03-16,7.879,-39.431,6.346,-26.9,-16.545,0.894,56,2,1.24614163396583,0.044505058355923,519487,0.722
AR,Argentina,2020-03-17,-11.396,-53.747,10.637,-40.83,-31.844,-11.995,68,2,1.51317198410137,0.044505058355923,519487,0.722
AR,Argentina,2020-03-18,-10.624,-48.792,12.005,-42.791,-34.599,-18.855,79,2,1.75794980505894,0.044505058355923,519487,0.722
AR,Argentina,2020-03-19,4.992,-54.943,12.607,-42.199,-35.079,-24.291,97,3,2.15849533026225,0.066757587533884,519487,0.722
AR,Argentina,2020-03-20,-40.436,-80.027,29.367,-78.483,-72.116,-60.537,128,3,2.84832373477905,0.066757587533884,519487,0.722
AR,Argentina,2020-03-21,-49.072,-85.378,28.034,-82.642,-75.409,-57.28,158,4,3.51589961011789,0.089010116711845,519487,0.722
AR,Argentina,2020-03-22,-61.218,-89.944,27.362,-87.281,-81.019,-57.88,266,4,5.91917276133771,0.089010116711845,519487,0.722
AR,Argentina,2020-03-23,-63.753,-88.343,31.67,-87.824,-84.974,-79.097,301,4,6.69801128256635,0.089010116711845,519487,0.722
AR,Argentina,2020-03-24,-63.569,-87.983,31.076,-87.856,-84.972,-79.293,387,6,8.61172879187103,0.133515175067768,519487,0.722
AR,Argentina,2020-03-25,-50.052,-82.431,28.357,-82.419,-76.76,-67.967,387,8,8.61172879187103,0.17802023342369,519487,0.722
AR,Argentina,2020-03-26,-52.21,-83.698,30.111,-82.748,-77.253,-68.171,502,9,11.1707696473366,0.200272762601652,519487,0.722
AR,Argentina,2020-03-27,-48.609,-81.859,32.409,-81.227,-75.292,-66.728,589,13,13.1067396858192,0.289282879313497,519487,0.722
AR,Argentina,2020-03-28,-47.999,-84.324,28.839,-81.711,-75.465,-59.253,690,18,15.3542451327933,0.400545525203304,519487,0.722
AR,Argentina,2020-03-29,-60.955,-89.15,27.369,-86.48,-80.396,-57.303,745,19,16.5781342375812,0.422798054381265,519487,0.722
AR,Argentina,2020-03-30,-51.498,-83.033,28.489,-81.158,-77.265,-68.314,820,23,18.2470739259283,0.51180817109311,519487,0.722
AR,Argentina,2020-03-31,-58.58,-85.313,29.959,-84.535,-81.632,-76.378,1054,27,23.4541657535712,0.600818287804955,519487,0.722
AR,Argentina,2020-04-01,-46.459,-79.491,27.028,-78.877,-74.806,-64.188,1054,28,23.4541657535712,0.623070816982917,519487,0.722
AR,Argentina,2020-04-02,-46.744,-81.161,28.838,-78.947,-73.954,-64.492,1133,36,25.2121155586302,0.801091050406607,519487,0.722
AR,Argentina,2020-04-03,-41.299,-78.211,30.603,-76.75,-71.108,-62.009,1265,39,28.1494494101211,0.867848637940491,519487,0.722
AR,Argentina,2020-04-04,-41.124,-81.159,27.254,-77.294,-70.592,-53.548,1451,43,32.2884198372219,0.956858754652336,519487,0.722
AR,Argentina,2020-04-05,-53.837,-86.676,25.873,-82.974,-75.91,-52.12,1451,44,32.2884198372219,0.979111283830298,519487,0.722
AU,Australia,2020-02-23,4.283,8.616,-0.263,3.354,4.062,-1.661,15,0,0.33378793766942,0,1420045,0.876
AU,Australia,2020-02-24,0.807,-9.507,-1.447,-0.815,7.875,17.275,15,0,0.33378793766942,0,1420045,0.876
AU,Australia,2020-02-25,-0.769,-8.38,-1.334,-2.52,10.086,14.661,15,0,0.33378793766942,0,1420045,0.876
AU,Australia,2020-02-26,-0.263,-5.036,-1.139,-0.574,9.637,13.935,15,0,0.33378793766942,0,1420045,0.876
AU,Australia,2020-02-27,1.369,-1.533,-1.407,-0.396,10.31,14.167,15,0,0.33378793766942,0,1420045,0.876
AU,Australia,2020-02-28,5.717,-0.464,-2.66,3.968,13.725,16.627,15,0,0.33378793766942,0,1420045,0.876
AU,Australia,2020-02-29,6.102,17.769,-1.014,6.399,10.955,3.993,25,0,0.556313229449033,0,1420045,0.876
AU,Australia,2020-03-01,7.434,19.68,-0.488,3.706,5.534,-0.985,27,1,0.600818287804955,0.022252529177961,1420045,0.876
AU,Australia,2020-03-02,4.658,-0.576,-0.446,-0.487,5.854,10.245,30,1,0.667575875338839,0.022252529177961,1420045,0.876
AU,Australia,2020-03-03,7.375,-14.005,-1.45,-1.669,9.052,15.05,39,1,0.867848637940491,0.022252529177961,1420045,0.876
AU,Australia,2020-03-04,12.463,-15.141,-0.693,0.35,6.519,13.897,52,2,1.15713151725399,0.044505058355923,1420045,0.876
AU,Australia,2020-03-05,9.132,-18.612,-0.383,-2.032,6.129,13.498,55,2,1.22388910478787,0.044505058355923,1420045,0.876
AU,Australia,2020-03-06,14.217,-6.468,-2.163,3.224,9.36,15.623,60,2,1.33515175067768,0.044505058355923,1420045,0.876
AU,Australia,2020-03-07,12.235,9.747,-0.082,3.457,2.708,2.357,63,2,2.45143054591413,0.044505058355923,1420045,0.876
AU,Australia,2020-03-08,8.191,13.52,-0.155,3.144,0.48,-1.806,76,3,2.95728129348371,0.066757587533884,1420045,0.876
